date,Open,High,Low,PREV_CLOSE,LTP,Close,VWAP,52W_H,52W_L,VOLUME ,VALUE ,Trades
23-9-22,754.2,755.9,729.35,755,732.05,731.4,738.37,1119.6,575.65,413234,305120067.45,20153
26-9-22,730,733.75,701.4,731.4,712.95,713.75,715.35,1119.6,575.65,264135,188948214.7,10662
27-9-22,714.95,733,708,713.75,716.1,716.85,719.02,1119.6,575.65,209354,150529914.9,8108
28-9-22,710.7,749.8,700,716.85,738.95,742.3,731.55,1119.6,575.65,552844,404435487.85,17807
29-9-22,753.8,760.75,741.55,742.3,745.5,749.1,748.62,1119.6,575.65,556512,416613761.2,17579
30-9-22,749.1,764.9,746.5,749.1,753.5,754.5,756.62,1119.6,575.65,321194,243020222.55,12110
3-10-22,753.85,764.4,736.4,754.5,743,741.3,751.1,1119.6,575.65,205155,154091424.35,11387
4-10-22,755,759.6,744.3,741.3,755.25,757.15,754.74,1119.6,575.65,176647,133323334.75,5198
6-10-22,760.3,769.9,757.1,757.15,761,763,764.68,1119.6,575.65,295262,225779831.45,15153
7-10-22,763,764.65,720.25,763,738,737.2,734.79,1119.6,575.65,625971,459955659.05,18113
10-10-22,727,734.7,718.8,737.2,725.45,724.25,726.69,1119.6,575.65,254858,185202300.15,13846
11-10-22,725.45,729.75,703.25,724.25,706,707.15,711.66,1119.6,575.65,1070851,762083171.35,17918
12-10-22,707.15,712.85,694.1,707.15,707.3,709.15,704.07,1119.6,575.65,436997,307678296.3,21637
13-10-22,707.3,711.95,699.85,709.15,700.5,702.3,704.53,1119.6,575.65,217458,153206207.85,5276
14-10-22,711.9,714.95,696,702.3,696.55,697.75,705.69,1119.6,575.65,238974,168641588.1,6173
17-10-22,695,710,686.8,697.75,709,707.2,700.4,1119.6,575.65,205085,143640671.15,6917
18-10-22,709.6,712.3,700,707.2,706.1,706.1,706.76,1119.6,575.65,147005,103896586.05,6547
19-10-22,708.9,712.2,696,706.1,698.25,697.15,705.87,1119.6,575.65,355152,250690534.3,11574
20-10-22,690,709.55,689.05,697.15,707.95,708.1,702.38,1119.6,575.65,392924,275982612.95,9527
21-10-22,710,719.8,700.1,708.1,704,703.4,709.38,1119.6,575.65,261094,185213719.2,7601
24-10-22,708.2,720.9,702,703.4,706,703.9,708.42,1119.6,575.65,37884,26837751.85,1507
25-10-22,703.9,711.95,702,703.9,711.2,709.45,709.03,1119.6,575.65,534584,379038116.75,9125
27-10-22,711.4,712.75,700.7,709.45,704,703.9,706.55,1119.6,575.65,238001,168160568.1,8706
28-10-22,704,709.4,694.2,703.9,696.25,698.5,700.53,1119.6,575.65,98075,68704115.1,4464
31-10-22,702,724,699.05,698.5,722.5,721.8,714.5,1119.6,575.65,442230,315974783.8,11548
1-11-22,726,732.85,719.65,721.8,729.2,729.5,728.74,1119.6,575.65,476275,347079104.95,10929
2-11-22,728.3,737,720,729.5,725,725.75,727.97,1119.6,575.65,408126,297105481.95,16893
3-11-22,720,727.05,708.8,725.75,718.8,716.05,717.94,1119.6,575.65,198048,142186224,8539
4-11-22,718.45,730,716.2,716.05,726.5,726.75,726.63,1119.6,575.65,742520,539540654.05,11710
7-11-22,730.95,744.5,730,726.75,738,739.1,739.14,1119.6,575.65,572911,423463033.55,12361
9-11-22,744,746.1,699.4,739.1,704,704.45,719.73,1119.6,575.65,1039790,748366260.15,36175
10-11-22,689,689,634.05,704.45,645.9,646.35,646.9,1119.6,575.65,3903914,2525439763.35,78986
11-11-22,650.1,658.65,634.3,646.35,641,641.7,642.33,1119.6,575.65,1306411,839143579.8,23306
14-11-22,644.85,670,640.6,641.7,667,663.15,658.25,1075.55,575.65,686983,452204686.75,18553
15-11-22,668,672.8,659.8,663.15,666.25,664.75,667.04,1075.55,575.65,588702,392689102.95,12907
16-11-22,666,672,652.65,664.75,655.95,656.8,660.67,1075.55,575.65,461537,304924969.7,16711
17-11-22,656.8,659.95,645.25,656.8,647,647.05,649.39,1075.55,575.65,280482,182142433.35,9503
18-11-22,648.65,655,641.3,647.05,654,653.25,648.98,1075.55,575.65,346494,224868993.3,16497
21-11-22,651,666,648.9,653.25,664.5,662.5,659.9,1054.8,575.65,310560,204938152.9,13887
22-11-22,665,681.5,662.6,662.5,666,666.15,671.13,1054.8,575.65,627317,421009717.15,15564
23-11-22,666.5,673.85,657,666.15,670,671,667.84,1054.8,575.65,407891,272405594.35,19410
24-11-22,673.65,678.25,657.15,671,659.65,659.35,661.96,1054.8,575.65,1001919,663226151.7,14647
25-11-22,660.2,664.55,654.4,659.35,657,656.75,660.76,1054.8,575.65,678414,448265910.45,14958
28-11-22,658,661.6,654.1,656.75,658,658.05,657.83,1054.8,575.65,761250,500774480.35,14223
29-11-22,658.1,669.85,656.1,658.05,661.8,659.05,662.57,1054.8,575.65,848714,562330014.2,22487
30-11-22,660.2,677.7,657.4,659.05,674,674.8,667.79,1054.8,575.65,1042278,696020622.8,15959
1-12-22,677,689,669.3,674.8,680,679.7,681.7,1054.8,575.65,922165,628640509,24857
2-12-22,680,694.55,676.25,679.7,687,691.15,684.81,1054.8,575.65,955293,654192994.25,16164
5-12-22,694,699,685.3,691.15,693,691.8,692.05,1054.8,575.65,323965,224198729.4,10178
6-12-22,688.7,701.8,688.35,691.8,700.9,699.7,697.27,1054.8,575.65,721845,503317458.6,18410
7-12-22,704.35,707.95,694.25,699.7,703,706.3,703.31,1054.8,575.65,686847,483067444.75,16824
8-12-22,706.3,730.7,703.1,706.3,729.1,729.8,722.42,1054.8,575.65,1328956,960066370.7,30593
9-12-22,734.2,735.45,718.25,729.8,728,730.15,729.06,1054.8,575.65,1693319,1234536679.35,18808
12-12-22,732.8,733.4,721.1,730.15,733.35,732.6,728.24,1054.8,575.65,551511,401630042.1,11240
13-12-22,735.65,738.5,723.7,732.6,726.95,725.15,730.29,1054.8,575.65,624661,456182864.35,11289
14-12-22,728.8,734,720.45,725.15,722.5,722.45,727.74,1054.8,575.65,163741,119160942.35,8520
15-12-22,722.85,733,717.15,722.45,720,721.75,726.07,1054.8,575.65,306417,222479456.3,11169
16-12-22,717.5,724,708.8,721.75,711.2,714.45,715.59,1054.8,575.65,216106,154643606.35,6005
19-12-22,714.5,721,709.3,714.45,717,719.45,715.48,1054.8,575.65,489293,350080876.85,8230
20-12-22,717.95,718,703.05,719.45,708.85,707.45,708.38,1054.8,575.65,147164,104247665,4309
21-12-22,711,717.15,693.7,707.45,698.2,699.95,704.07,1054.8,575.65,192138,135278345.75,5512
22-12-22,700.9,705.05,688.15,699.95,698,701.95,698.21,1054.8,575.65,515120,359660678.35,11503
23-12-22,697.1,698.55,679.15,701.95,682,684.95,685.86,1054.8,575.65,338069,231867811.8,17370
26-12-22,683,703.9,666,684.95,698.3,699.85,697.59,1054.8,575.65,210346,146734804.85,9032
27-12-22,700,714.75,700,699.85,705,705.55,708.64,1054.8,575.65,366277,259559094.05,14284
28-12-22,705.55,711.25,700.85,705.55,710.9,709.6,706.78,1054.8,575.65,348292,246165560.7,17636
29-12-22,707,710,690,709.6,695.8,700,697.26,1054.8,575.65,370942,258641959.25,10625
30-12-22,701.5,704.95,692.95,700,700,700.25,699.36,1054.8,575.65,354622,248010203.5,8060
2-1-23,700,709,696.05,700.25,708.5,706.15,702.2,1054.8,575.65,158224,111105651.3,9068
3-1-23,705.95,718.7,698.3,706.15,715,713.25,706.39,1054.8,575.65,787994,556631263.75,18173
4-1-23,716.95,722.25,705.5,713.25,705.5,708.45,714.19,1054.8,575.65,528497,377444704,17787
5-1-23,710,712,702.1,708.45,707.4,710.05,708.18,1054.8,575.65,153672,108826956.85,8129
6-1-23,710.05,720,707.1,710.05,711.5,713.85,713.59,1054.8,575.65,433110,309063171.6,16337
9-1-23,719,724.25,708.3,713.85,712,712.9,714.62,1054.8,575.65,255695,182724602,15923
10-1-23,714.15,719.65,697.2,712.9,700,700.1,706.33,1054.8,575.65,268735,189815710.6,7630
11-1-23,700.5,707.8,697.6,700.1,706.85,704.55,703.14,1054.8,575.65,117092,82331641.45,5386
12-1-23,705.8,711.7,702.25,704.55,707.5,704.3,706.73,1054.8,575.65,108626,76769216.35,6600
13-1-23,705.9,711.55,701.6,704.3,710.9,709.75,707.99,1054.8,575.65,164073,116162813.5,4845
16-1-23,710.9,716.4,707.8,709.75,711,712.05,712.34,1034.15,575.65,142034,101176662.2,5342
17-1-23,711.8,715.8,707.25,712.05,713,712.2,711.88,1034.15,575.65,77842,55413792.3,4100
18-1-23,709,715.5,705.1,712.2,714.8,714.15,710.66,1034.15,575.65,338853,240810287.45,5694
19-1-23,717,717.9,705.65,714.15,709.3,712.3,711.69,1034.15,575.65,178379,126950713.45,10017
